epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017719.182842,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.400000,0.000000,0.000000
1784017719.212703,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.480000,0.000000,0.000000
1784017719.231886,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.400000,0.000000,0.000000
1784017719.247512,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.820000,0.000000,0.000000
1784017719.248196,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.250000,0.030000,0.000000
1784017719.255533,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.250000,0.000000,0.000000
1784017719.270640,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.170000,0.000000,0.250000
1784017719.299644,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.250000,0.000000,0.000000
1784017719.311512,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.170000,0.000000,0.000000
1784017719.314662,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.170000,0.000000,0.000000
1784017719.332479,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.010000,0.000000,0.000000
1784017719.353780,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.010000,0.000000,0.000000
1784017719.360416,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.920000,0.000000,0.000000
1784017719.374901,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.170000,0.000000,0.000000
1784017719.396274,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.090000,0.000000,0.000000
1784017719.398367,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.090000,0.000000,0.000000
1784017719.443086,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.090000,0.000000,0.000000
1784017719.450172,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.090000,0.000000,0.500000
1784017719.479933,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.170000,0.000000,0.000000
1784017719.523543,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.250000,0.000000,0.000000
1784017719.525603,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.570000,0.000000,0.000000
